id,overall_score,intent_accuracy,usefulness,groundedness,tone,clarity,risk_tags,critical_fail,improvement
case_01,59.25,55.0,10.0,100.0,80.0,90.0,specific_case_unresolved|missing_clarification|self_service_deflection,False,主动追问订单、账号或商品信息，针对当前个案给出下一步。
case_02,55.25,75.0,30.0,50.0,80.0,90.0,self_service_deflection|unsupported_claim,False,对时效、政策或商品参数提供可追溯依据，无法确认时明确说明待核实。
case_03,62.75,75.0,30.0,75.0,80.0,90.0,self_service_deflection|unsupported_claim,False,对时效、政策或商品参数提供可追溯依据，无法确认时明确说明待核实。
case_04,67.25,65.0,45.0,75.0,100.0,100.0,unnecessary_troubleshooting_burden|unsupported_claim,False,对时效、政策或商品参数提供可追溯依据，无法确认时明确说明待核实。
case_05,84.25,90.0,75.0,85.0,100.0,75.0,unsupported_capability,False,保留直接答案，并补充更具体的下一步。
case_06,59.25,55.0,10.0,100.0,80.0,90.0,specific_case_unresolved|missing_clarification|self_service_deflection,False,主动追问订单、账号或商品信息，针对当前个案给出下一步。
case_07,69.75,75.0,40.0,100.0,40.0,100.0,self_service_deflection|emotion_underaddressed,False,先承接用户的担忧或不满，再给出具体处理步骤。
case_08,51.75,55.0,10.0,75.0,80.0,90.0,specific_case_unresolved|missing_clarification|self_service_deflection|unsupported_claim,False,主动追问订单、账号或商品信息，针对当前个案给出下一步。
case_09,62.75,75.0,30.0,75.0,80.0,90.0,self_service_deflection|unsupported_claim,False,对时效、政策或商品参数提供可追溯依据，无法确认时明确说明待核实。
case_10,66.25,75.0,40.0,75.0,80.0,100.0,self_service_deflection|unsupported_claim,False,对时效、政策或商品参数提供可追溯依据，无法确认时明确说明待核实。
case_11,71.75,75.0,60.0,75.0,80.0,90.0,unsupported_claim,False,对时效、政策或商品参数提供可追溯依据，无法确认时明确说明待核实。
case_12,51.75,55.0,10.0,75.0,80.0,90.0,specific_case_unresolved|missing_clarification|self_service_deflection|unsupported_claim,False,主动追问订单、账号或商品信息，针对当前个案给出下一步。
case_13,55.25,55.0,10.0,100.0,40.0,90.0,specific_case_unresolved|missing_clarification|self_service_deflection|emotion_underaddressed,False,主动追问订单、账号或商品信息，针对当前个案给出下一步。
case_14,65.0,75.0,30.0,85.0,80.0,75.0,self_service_deflection|unsupported_capability,False,保留直接答案，并补充更具体的下一步。
case_15,64.5,75.0,70.0,35.0,100.0,85.0,unsupported_claim|unsupported_capability,False,对时效、政策或商品参数提供可追溯依据，无法确认时明确说明待核实。
case_16,78.5,90.0,45.0,100.0,80.0,90.0,self_service_deflection,False,保留直接答案，并补充更具体的下一步。
case_17,88.5,100.0,70.0,100.0,80.0,90.0,self_service_deflection,False,保留直接答案，并补充更具体的下一步。
case_18,60.75,75.0,40.0,50.0,100.0,100.0,self_service_deflection|unsupported_claim,False,对时效、政策或商品参数提供可追溯依据，无法确认时明确说明待核实。
case_19,47.25,55.0,10.0,60.0,80.0,90.0,specific_case_unresolved|missing_clarification|self_service_deflection|unsupported_claim|unsupported_capability,False,主动追问订单、账号或商品信息，针对当前个案给出下一步。
case_20,68.0,50.0,35.0,100.0,100.0,100.0,missing_clarification,False,保留直接答案，并补充更具体的下一步。
